date,rel_density
240829,0.528109015
240902,0.629519641
240909,0.601948695
240910,0.534405529
240911,0.486281805
240912,0.531384841
240913,0.54313117
241008,0.569937019
241009,0.584503913
241010,0.590743847
241016,0.515750897
241017,0.514988383
241018,0.577260476
241022,0.563917271
241101,0.541579603
241107,0.547128794
241119,0.580298623
241122,0.537769865
