torsion_angle,height,rad_outer,rad_inner,void_ratio,strain_shear,stress_shear,stress_z,stress_outer,stress_inner,strain_dev,vel_rot,moment_inertial,time_duration
0.0,0.09871186773274516,0.0497781949591,0.0301350535246,0.735598095319,0.0,-10.1079401197,10000.1106257,9971.29943997,10029.3633773,0.0,0.0,1200000.0,5.39472588843201e-07
6.70727053792e-09,0.09871186757647335,0.0497781903961,0.0301350488948,0.735597899766,1.37802041816e-09,-9.84668716889,9998.8704177,9972.6332263,10027.9795116,1.15477821404e-07,3.05750845567e-05,1200000.0,0.00010810920844895262
2.2184658349e-08,0.09871079726792581,0.0497779752558,0.0301352640351,0.735541253184,4.56316890853e-09,-24.7293956097,12141.2971532,11985.4593532,13068.597271,1.87727865089e-05,7.67856014113e-05,1200000.0,0.00021567933125933632
3.25067434161e-08,0.09870972156545914,0.0497777601153,0.0301354791756,0.73548432283,6.70391701479e-09,-11.32488182,12666.72847,13965.256189,15784.5193484,3.77430238562e-05,3.51633278401e-05,1200000.0,0.0003232495779299255
4.28338814352e-08,0.09870864586122853,0.0497775449745,0.0301355632023,0.735436043938,8.83393712334e-09,-14.1705595943,13427.7448392,15462.8025389,17495.7631057,4.96346836273e-05,4.39981769292e-05,1200000.0,0.0004308200009871262
5.3023809443e-08,0.09870757015307287,0.0497773322036,0.0301354366506,0.735402091911,1.09329537903e-08,-21.2856419346,15842.3320576,15982.5143996,18331.5576691,5.05245193735e-05,6.6088713867e-05,1200000.0,0.0005383908165544881
6.99509714613e-08,0.09870649444180656,0.0497771563768,0.030135246051,0.735376497998,1.44231268549e-08,-28.0088895817,16623.9953109,16246.0802487,18447.6160461,4.85221440194e-05,8.69624939751e-05,1200000.0,0.0006459619431742668
9.04834957846e-08,0.0987054187285835,0.049777013239,0.0301350580599,0.735354348117,1.86573248962e-08,-35.4591314786,16906.9756592,16402.2010561,18370.0976102,4.83448287571e-05,0.000110093358392,1200000.0,0.0007535332654615455
1.16616443036e-07,0.0987043430130081,0.0497768911766,0.0301348862303,0.735333446562,2.40478768629e-08,-42.6847438343,18018.3305134,16515.7177648,18255.8216428,5.11900841705e-05,0.000132526559317,1200000.0,0.000861104823010695
1.45951835856e-07,0.09870326729491904,0.0497767861423,0.0301347321522,0.735313236971,3.01039977331e-08,-43.4504785931,19571.6820232,16617.3059986,18148.1532862,5.67255992735e-05,0.000134903226013,1200000.0,0.0009686766319162337
1.73232390245e-07,0.098702191575153,0.0497766971996,0.0301345935433,0.735293767152,3.57401952698e-08,-38.2619216698,20117.8337456,16715.8481142,18058.7304005,6.42398048397e-05,0.000118793520607,1200000.0,0.0010762486085274198
1.99888930878e-07,0.09870111585385502,0.0497766234691,0.0301344686372,0.735275058974,4.12392107561e-08,-45.0649072231,20600.8177663,16806.0647081,17973.7677568,7.31460903054e-05,0.0001399146224,1200000.0,0.0011838207383181342
2.34154245157e-07,0.09870004013091636,0.0497765633204,0.0301343569237,0.735256967294,4.83066006583e-08,-55.4710016543,21709.1462481,16885.0836846,17893.0239912,8.30090873738e-05,0.000172222391565,1200000.0,0.001291393032181483
2.71220301742e-07,0.0986989756476911,0.0497765152585,0.0301342572523,0.735239601245,5.5958743577e-08,-56.5691947763,22686.7490041,16957.3722065,17819.9108182,9.34139297298e-05,0.000175631718841,1200000.0,0.0013989654553835567
3.07924843885e-07,0.09869803325641495,0.0497764774051,0.0301341693221,0.735224724647,6.35413320772e-08,-50.2877010439,23038.1289524,17011.5183488,17744.4378961,0.000103013156546,0.000156129234649,1200000.0,0.0015065379730907567
3.40617496227e-07,0.09869720733040567,0.0497764472157,0.0301340928728,0.73521197511,7.02922885346e-08,-48.8241003358,23427.6661646,17052.5836752,17671.8913623,0.000111663048923,0.000151585054273,1200000.0,0.001614110614442188
3.73530153741e-07,0.0986965603841095,0.0497764219845,0.0301340280207,0.735202147174,7.70858768863e-08,-51.5008567221,24036.3932214,17073.0353573,17597.1844544,0.000118562861244,0.000159895509532,1200000.0,0.0017216833642313759
4.09363965003e-07,0.09869611314008307,0.0497763988681,0.0301339746279,0.735195300094,8.44813827782e-08,-55.6847000043,24476.5042598,17081.7715876,17530.2132745,0.000123357950543,0.000172884976949,1200000.0,0.001829256204574231
