torsion_angle,height,rad_outer,rad_inner,void_ratio,strain_shear,stress_shear,stress_z,stress_outer,stress_inner,strain_dev,vel_rot,moment_inertial,time_duration
0.0,0.09871186773274516,0.0497781949591,0.0301350535246,0.735598095319,0.0,-10.1079401197,10000.1106257,9971.29943997,10029.3633773,0.0,0.0,1200000.0,5.39472588843201e-07
6.70727053792e-09,0.09871186757647335,0.0497781903961,0.0301350488948,0.735597899766,1.37802041816e-09,-9.84668716889,9998.8704177,9972.6332263,10027.9795116,1.15477821404e-07,3.05750845567e-05,1200000.0,0.00010810920844895262
2.2184658349e-08,0.09871079726792581,0.0497779752558,0.0301352640351,0.735541253184,4.56316890853e-09,-24.7293956097,12141.2971532,11985.4593532,13068.597271,1.87727865089e-05,7.67856014113e-05,1200000.0,0.00021567933125933632
3.25067434161e-08,0.09870972156545914,0.0497777601153,0.0301354791756,0.73548432283,6.70391701479e-09,-11.32488182,12666.72847,13965.256189,15784.5193484,3.77430238562e-05,3.51633278401e-05,1200000.0,0.0003232495779299255
4.29484678222e-08,0.09870864586152794,0.0497775449746,0.0301356943163,0.735427393226,8.85678123439e-09,-15.3690416063,13521.1577345,15887.0954909,18550.3951699,5.67133138117e-05,4.77192079957e-05,1200000.0,0.0004308199710501671
5.42776419791e-08,0.0987075701543324,0.0497773298331,0.0301357837219,0.735378758343,1.11915826846e-08,-21.5914698346,16088.8988698,17361.14558,20241.433944,6.88793221055e-05,6.70376868831e-05,1200000.0,0.0005383906906119242
6.94760792964e-08,0.09870649542360839,0.049777114691,0.0301356624081,0.735344222552,1.43281874041e-08,-23.473908757,16982.935754,17976.0510946,21095.7573121,6.98925946522e-05,7.28812195241e-05,1200000.0,0.0006459617655123431
8.69683660884e-08,0.09870546225745398,0.0497768995484,0.0301354635948,0.735315612302,1.79347628164e-08,-30.8438190694,17211.4243443,18373.9030028,21421.4356347,6.7531391174e-05,9.57619191857e-05,1200000.0,0.0007535330631477412
1.1030631308e-07,0.0987045899624777,0.0497766848947,0.0301352484517,0.735290984014,2.27485526981e-08,-37.6369069169,17993.925855,18683.4583632,21553.7695946,6.48292645218e-05,0.000116851244786,1200000.0,0.0008611046104389908
1.34310059854e-07,0.09870408820747345,0.0497764882096,0.0301350333081,0.735274836964,2.77076707806e-08,-33.0092815632,19091.398733,18838.787939,21503.8690798,6.10595308561e-05,0.000102482667358,1200000.0,0.0009686764084291407
1.55626842435e-07,0.09870383762518153,0.0497763085546,0.030134819249,0.735264919284,3.21098506061e-08,-31.5840225512,19377.7126232,18892.3202039,21330.4939238,5.62700564729e-05,9.80567770361e-05,1200000.0,0.0010762483914028586
1.7846522244e-07,0.09870362522049604,0.0497761363444,0.0301346212122,0.735255427727,3.6820932101e-08,-37.8554300697,19442.0829536,18961.9813394,21197.6308575,5.20047120802e-05,0.000117526139523,1200000.0,0.001183820491411644
2.06572835298e-07,0.0987034639600362,0.0497759769553,0.0301344420934,0.735246983951,4.26195238573e-08,-44.5575483349,19669.9713102,19038.1310797,21089.5746474,4.8164473604e-05,0.000138332438431,1200000.0,0.0012913926784506502
2.34724189379e-07,0.09870339058293555,0.0497758289301,0.030134278877,0.735240276554,4.84354936895e-08,-39.2366577655,19889.3690484,19105.6421291,20992.6647677,4.43656096134e-05,0.000121812346269,1200000.0,0.0013989649376812507
2.59095823593e-07,0.09870336505355493,0.0497756913089,0.0301341296368,0.735234623725,5.34708082178e-08,-34.3408350535,19946.6024992,19169.3783667,20911.7263231,4.07092049744e-05,0.000106612207567,1200000.0,0.001506537263223188
2.8164306981e-07,0.09870334996051214,0.0497755636283,0.0301339921957,0.735229461955,5.8125430855e-08,-35.3149868739,19973.8582044,19229.9852727,20842.5438703,3.73253499491e-05,0.000109635738783,1200000.0,0.0016141096545530592
3.06645999468e-07,0.09870335016611481,0.0497754452657,0.0301338652593,0.735224894798,6.32847891479e-08,-39.4607179706,20029.4369327,19285.4765096,20777.7105866,3.41375820919e-05,0.000122505456583,1200000.0,0.001721682081914026
3.32615166941e-07,0.09870336864625126,0.0497753352364,0.030133748017,0.735220920474,6.86470093945e-08,-38.7915954181,20067.9282798,19335.4621616,20718.5794293,3.10965592101e-05,0.000120427461881,1200000.0,0.0018292545381061389
