torsion_angle,height,rad_outer,rad_inner,void_ratio,strain_shear,stress_shear,stress_z,stress_outer,stress_inner,strain_dev,vel_rot,moment_inertial,time_duration
0.0,0.098644542275315,0.0497408079816,0.0301102589183,0.731953783256,0.0,1.72839870734,99998.0318033,99996.5991264,100003.173455,0.0,0.0,491851.743816,5.396069062832409e-07
6.75315632119e-06,0.098644542275315,0.049740807959,0.0301102588809,0.731953783256,1.9955661304e-06,182.054678585,99981.5123744,99984.7657822,99997.144142,2.30428144763e-06,0.0247472589497,491373.096268,0.0002700216166602176
1.98554686105e-05,0.098644542275315,0.0497408078848,0.0301102587583,0.731953783256,5.87902736951e-06,532.120913001,99960.1211233,99968.1104605,99990.4773061,6.78851707923e-06,0.036058946623,490868.930511,0.0005395040880688443
3.2814319831e-05,0.098644542275315,0.0497408077271,0.0301102584979,0.731953783256,9.72360206885e-06,865.78811978,99941.649011,99953.8703607,99982.7833479,1.12278527729e-05,0.0359454335311,490869.514086,0.000808987074320575
4.56908577351e-05,0.098644542275315,0.0497408075076,0.0301102581352,0.731953783256,1.3543765032e-05,1203.26882892,99918.3570109,99936.1592058,99973.7336062,1.56390033155e-05,0.0357046799586,490870.105517,0.0010784705731096424
5.89280724493e-05,0.098644542275315,0.0497408072141,0.0301102576504,0.731953783256,1.74706088088e-05,1539.0784225,99899.1182191,99921.3244438,99965.0795095,2.01733428307e-05,0.0366000082732,490870.565725,0.0013479545802593319
7.20116142966e-05,0.098644542275315,0.0497408068615,0.030110257068,0.731953783256,2.13522288999e-05,1873.9474005,99874.6210546,99903.1071991,99955.5797982,2.46554675679e-05,0.0363724255588,489320.831091,0.001617439105734831
8.55133180074e-05,0.098644542275315,0.0497408064344,0.0301102563624,0.731953783256,2.5357524346e-05,2209.91170255,99854.1433259,99888.1023358,99946.7410016,2.92804070599e-05,0.0371941819201,488811.029866,0.0018869241487044573
9.88087393769e-05,0.098644542275315,0.0497408059483,0.0301102555594,0.731953783256,2.93020065298e-05,2544.30405302,99828.0948812,99868.8746857,99936.2691128,3.38351324697e-05,0.036813773268,488464.571529,0.002156409719810807
0.000112503596049,0.098644542275315,0.0497408053883,0.0301102546342,0.731953783256,3.33646462134e-05,2880.64779296,99806.194585,99853.1099352,99926.4144876,3.85263031878e-05,0.0376417187432,488811.841289,0.0024258958177429484
0.000125909465408,0.098644542275315,0.049740804771,0.0301102536146,0.731953783256,3.734193844e-05,3212.16825849,99779.4048609,99833.5333813,99915.1283203,4.31189320582e-05,0.0372689713689,489701.820545,0.002695382447690232
0.000139776027206,0.098644542275315,0.0497408040842,0.03011025248,0.731953783256,4.14554913023e-05,3548.72960404,99756.7992057,99817.5497717,99904.4731329,4.78689112793e-05,0.0380570848499,490526.886016,0.002964869605665887
0.000153303432742,0.098644542275315,0.0497408033454,0.0301102512596,0.731953783256,4.54688752358e-05,3878.61304535,99728.3713775,99796.4564846,99890.8244991,5.25032355385e-05,0.037514309838,490180.138445,0.003234357295834539
0.000167310082901,0.098644542275315,0.0497408025442,0.030110249936,0.731953783256,4.96239822111e-05,4214.30371749,99703.1933475,99776.4152088,99874.1784902,5.7301218137e-05,0.0383871295176,490180.244684,0.0035038455154917164
0.000180980894369,0.098644542275315,0.0497408017169,0.0301102485692,0.731953783256,5.36798758872e-05,4543.20894374,99673.9856228,99753.7076852,99857.3910389,6.19846469157e-05,0.0379391673563,490180.487195,0.0037733342705443713
0.000195091702266,0.098644542275315,0.0497408008328,0.0301102471089,0.731953783256,5.78659298069e-05,4879.3414746,99648.5853003,99735.4112049,99843.8689081,6.68183824126e-05,0.0386375576727,490180.742217,0.0040428235515659605
0.000208758095821,0.098644542275315,0.0497407999022,0.0301102455715,0.731953783256,6.19205804984e-05,5205.6078286,99617.4302491,99712.0730653,99828.0422873,7.1500398632e-05,0.0379797547492,490936.878643,0.004312313248036164
0.000222919225226,0.098644542275315,0.0497407989088,0.0301102439304,0.731953783256,6.61215374032e-05,5540.17367909,99590.9377107,99692.70315,99813.4820806,7.63513672481e-05,0.0387343725207,489256.745599,0.004581803300687685
