CSV Data,0.00sec - 13.25sec
DATASET,F053
VERSION,1
SERIES,CH_1,CH_2,CH_3,CH_4
DATE,10-08-2024
TIME,12:28:32
RATE,20
VERT_UNITS,Nm,deg,N,ue
HORZ_UNITS,SEC
NUM_SERIES,4
STORAGE_MODE,INTERLACED
FILE_TYPE,INTEGER
SLOPE,0.00400,0.00400,0.20000,0.55300
X_OFFSET,0
Y_OFFSET,0,0,0,0
NUM_SAMPS,0000266
,CH_1,CH_2,CH_3,CH_4
1,0.068,-4.272,-2,251.615
2,0.068,-4.272,-2,251.615
3,0.068,-4.272,-2,252.168
4,0.068,-4.272,-2,251.615
5,0.068,-4.272,-2,251.615
6,0.068,-4.272,-2,251.615
7,0.072,-4.268,-2,252.168
8,0.068,-4.272,-2,251.615
9,0.068,-4.272,-2,251.615
10,0.068,-4.268,-2,251.615
11,0.068,-4.268,-2,251.615
12,0.068,-4.272,-2,251.615
13,0.068,-4.268,-2,251.615
14,0.072,-4.268,-2,251.615
15,0.068,-4.264,-2,252.168
16,0.068,-4.268,-2,251.615
17,0.068,-4.264,-2,251.615
18,0.068,-4.268,-2,251.615
19,0.068,-4.268,-2,251.615
20,0.068,-4.268,-2,251.615
21,0.068,-4.264,-2,252.168
22,0.068,-4.264,-2,251.615
23,0.068,-4.264,-2,251.615
24,0.068,-4.264,-2,251.615
25,0.068,-4.264,-2,251.615
26,0.068,-4.264,-2,251.615
27,0.068,-4.264,-2,251.615
28,0.068,-4.264,-2,251.615
29,0.068,-4.264,-2,251.615
30,0.068,-4.264,-2,252.168
31,0.068,-4.264,-1.8,251.615
32,0.068,-4.264,-2,251.615
33,0.068,-4.26,-2,251.615
34,0.068,-4.264,-2,252.168
35,0.068,-4.26,-2,251.615
36,0.068,-4.264,-2,251.615
37,0.068,-4.26,-2,251.615
38,0.068,-4.26,-2,251.615
39,0.068,-4.26,-2,251.615
40,0.068,-4.26,-2,251.615
41,0.068,-4.26,-2,251.615
42,0.064,-4.26,-2,251.615
43,0.064,-4.26,-2,251.615
44,0.068,-4.26,-2,251.615
45,0.072,-4.256,-2,251.615
46,0.068,-4.26,-2,251.615
47,0.068,-4.256,-2,251.615
48,0.068,-4.256,-2,251.615
49,0.068,-4.26,-2,252.168
50,0.064,-4.26,-2,251.615
51,0.068,-4.256,-2,251.615
52,0.068,-4.256,-2.2,251.615
53,0.068,-4.256,-2,252.168
54,0.068,-4.256,-2,251.615
55,0.068,-4.256,-2,251.615
56,0.068,-4.256,-2,252.168
57,0.068,-4.256,-2,251.615
58,0.068,-4.256,-2,251.615
59,0.068,-4.252,-2,251.615
60,0.068,-4.256,-2,251.615
61,0.068,-4.256,-2,251.615
62,0.068,-4.256,-2,251.615
63,0.068,-4.256,-2,251.615
64,0.068,-4.252,-2,251.615
65,0.068,-4.252,-2,252.168
66,0.068,-4.252,-2,251.615
67,0.068,-4.252,-2,251.615
68,0.068,-4.252,-2,251.615
69,0.068,-4.252,-2,251.615
70,0.064,-4.256,-2,251.615
71,0.068,-4.252,-2,251.615
72,0.068,-4.252,-2,251.615
73,0.068,-4.252,-2,251.615
74,0.068,-4.252,-2,251.615
75,0.068,-4.252,-2,251.615
76,0.068,-4.252,-2,251.615
77,0.064,-4.252,-2,251.615
78,0.064,-4.248,-2,251.615
79,0.068,-4.248,-2,251.615
80,0.072,-4.248,-2.6,243.32
81,9.200001E-02,-4.248,-3.8,230.601
82,0.112,-4.248,-5,222.306
83,0.136,-4.244,-6.4,218.988
84,0.16,-4.232,-8.400001,218.435
85,0.188,-4.22,-10.2,218.435
86,0.212,-4.204,-12.2,217.882
87,0.236,-4.184,-14,217.329
88,0.26,-4.164,-16.2,217.329
89,0.28,-4.14,-18.4,216.776
90,0.296,-4.116,-20.6,216.223
91,0.316,-4.088,-23.2,215.67
92,0.324,-4.06,-25.6,214.564
93,0.336,-4.036,-28.4,214.011
94,0.34,-4,-31,213.458
95,0.348,-3.968,-33.8,212.905
96,0.348,-3.94,-36.8,212.352
97,0.348,-3.912,-39.2,211.799
98,0.344,-3.868,-41.8,211.799
99,0.332,-3.832,-44.4,210.693
100,0.328,-3.804,-46.4,210.693
101,0.32,-3.788,-48.6,209.587
102,0.308,-3.768,-51,209.587
103,0.3,-3.748,-53,209.034
104,0.288,-3.732,-54.8,209.034
105,0.272,-3.716,-56.6,208.481
106,0.26,-3.704,-58,207.928
107,0.248,-3.688,-59.6,207.928
108,0.236,-3.676,-60.8,207.375
109,0.224,-3.664,-62,207.375
110,0.208,-3.656,-62.8,207.375
111,0.2,-3.644,-63.8,206.822
112,0.192,-3.636,-64.4,207.375
113,0.18,-3.632,-65,207.375
114,0.172,-3.62,-65.4,207.375
115,0.16,-3.62,-65.8,207.375
116,0.152,-3.612,-66,207.375
117,0.144,-3.608,-66.2,207.375
118,0.136,-3.604,-66.4,207.375
119,0.132,-3.6,-66.4,207.375
120,0.124,-3.596,-66.6,207.375
121,0.116,-3.592,-66.6,207.928
122,0.116,-3.592,-66.4,207.375
123,0.108,-3.588,-66.4,207.375
124,0.104,-3.588,-66.6,207.375
125,0.1,-3.588,-66.6,207.375
126,0.096,-3.584,-66.8,207.375
127,0.096,-3.58,-66.8,207.375
128,9.200001E-02,-3.58,-67,207.375
129,9.200001E-02,-3.58,-67,207.375
130,8.800001E-02,-3.576,-66.8,207.375
131,8.800001E-02,-3.576,-66.8,207.375
132,8.400001E-02,-3.576,-67,207.375
133,8.400001E-02,-3.572,-67,207.375
134,8.400001E-02,-3.572,-66.8,207.375
135,8.400001E-02,-3.572,-67,207.375
136,8.000001E-02,-3.572,-67,207.375
137,8.000001E-02,-3.568,-67,207.375
138,8.000001E-02,-3.568,-67,207.375
139,7.600001E-02,-3.568,-67,207.375
140,8.000001E-02,-3.568,-67.2,206.822
141,8.000001E-02,-3.564,-67,207.375
142,7.600001E-02,-3.564,-67.2,207.375
143,7.600001E-02,-3.564,-67,207.375
144,7.600001E-02,-3.564,-67.2,206.822
145,7.600001E-02,-3.564,-67,207.375
146,0.072,-3.564,-67.2,207.375
147,0.072,-3.56,-67.2,207.375
148,7.600001E-02,-3.56,-67.2,207.375
149,0.072,-3.56,-67.2,207.375
150,0.072,-3.56,-67.2,207.375
151,7.600001E-02,-3.56,-67.2,207.375
152,0.072,-3.56,-67.2,207.375
153,0.072,-3.56,-67.2,207.375
154,0.072,-3.556,-67.2,207.375
155,0.072,-3.556,-67.2,207.375
156,0.072,-3.556,-67.2,207.375
157,0.072,-3.556,-67.2,207.375
158,0.072,-3.556,-67.2,207.375
159,0.068,-3.556,-67.2,207.375
160,0.072,-3.556,-67.2,207.375
161,0.068,-3.556,-67.2,206.822
162,0.068,-3.556,-67.2,207.375
163,0.072,-3.552,-67.2,207.375
164,0.072,-3.552,-67.2,207.375
165,0.068,-3.552,-67.4,206.822
166,0.068,-3.552,-67.2,206.822
167,0.072,-3.552,-67.4,206.822
168,0.068,-3.552,-67.4,207.375
169,0.068,-3.552,-67.4,207.375
170,0.068,-3.552,-67.4,206.822
171,0.068,-3.556,-67.4,206.822
172,0.068,-3.552,-67.4,207.375
173,0.068,-3.552,-67.4,206.822
