CSV Data,0.00sec - 12.45sec
DATASET,F050
VERSION,1
SERIES,CH_1,CH_2,CH_3,CH_4
DATE,10-08-2024
TIME,12:04:07
RATE,20
VERT_UNITS,Nm,deg,N,ue
HORZ_UNITS,SEC
NUM_SERIES,4
STORAGE_MODE,INTERLACED
FILE_TYPE,INTEGER
SLOPE,0.00400,0.00400,0.20000,0.55300
X_OFFSET,0
Y_OFFSET,0,0,0,0
NUM_SAMPS,0000250
,CH_1,CH_2,CH_3,CH_4
1,0.012,-0.04,1,223.965
2,0.012,-0.04,1,223.412
3,0.008,-0.04,1,223.965
4,0.008,-0.036,1,223.965
5,0.008,-0.036,1,223.965
6,0.012,-0.036,1,223.965
7,0.012,-0.036,1,224.518
8,0.012,-0.036,1,223.965
9,0.012,-0.036,1,223.965
10,0.008,-0.04,1,223.965
11,0.012,-0.04,1,223.965
12,0.012,-0.036,1,224.518
13,0.012,-0.036,1,223.965
14,0.012,-0.036,1,223.965
15,0.012,-0.036,1,223.965
16,0.008,-0.04,1,223.965
17,0.012,-0.036,1,224.518
18,0.008,-0.036,1,223.965
19,0.012,-0.036,1,223.965
20,0.012,-0.036,0.8,223.965
21,0.012,-0.04,1,223.965
22,0.012,-0.04,1,224.518
23,0.012,-0.036,1,223.965
24,0.008,-0.036,1,223.965
25,0.012,-0.036,1,223.965
26,0.008,-0.036,1,224.518
27,0.012,-0.04,1,224.518
28,0.012,-0.036,1,224.518
29,0.012,-0.036,1,224.518
30,0.012,-0.04,1,223.965
31,0.012,-0.036,1,223.965
32,0.012,-0.04,1,224.518
33,0.012,-0.036,1,223.965
34,0.012,-0.036,1,223.965
35,0.012,-0.04,1,224.518
36,0.012,-0.036,1,223.965
37,0.012,-0.036,1,224.518
38,0.012,-0.036,1,224.518
39,0.012,-0.036,1,223.965
40,0.012,-0.04,1,223.965
41,0.012,-0.036,1,223.965
42,0.012,-0.036,1,224.518
43,0.012,-0.036,1,224.518
44,0.012,-0.036,0.8,224.518
45,0.012,-0.04,1,224.518
46,0.012,-0.036,1,224.518
47,0.012,-0.036,1,224.518
48,0.012,-0.036,1,223.965
49,0.008,-0.036,1,224.518
50,0.012,-0.04,1,224.518
51,0.012,-0.036,1,224.518
52,0.012,-0.036,1,224.518
53,0.008,-0.036,1,224.518
54,0.012,-0.04,1,224.518
55,0.012,-0.036,1,224.518
56,0.012,-0.036,1,223.965
57,0.012,-0.036,0.8,224.518
58,0.008,-0.036,1,224.518
59,0.012,-0.04,1,224.518
60,0.012,-0.036,1,224.518
61,0.012,-0.04,1,224.518
62,0.012,-0.036,0.8,224.518
63,0.012,-0.036,1,224.518
64,0.012,-0.036,1,224.518
65,0.012,-0.036,1,224.518
66,0.012,-0.04,1,224.518
67,0.012,-0.036,1,224.518
68,0.012,-0.036,1,224.518
69,0.008,-0.036,1,224.518
70,0.008,-0.036,1,224.518
71,0.008,-0.04,1,224.518
72,0.012,-0.04,1,224.518
73,0.012,-0.04,1,224.518
74,0.012,-0.036,1,224.518
75,0.012,-0.036,1,224.518
76,0.012,-0.036,1,224.518
77,0.008,-0.036,1,224.518
78,0.012,-0.036,1,224.518
79,0.012,-0.036,1,224.518
80,0.016,-0.036,1,224.518
81,0.012,-0.036,0.8,224.518
82,0.012,-0.04,1,224.518
83,0.012,-0.04,1,224.518
84,0.012,-0.036,1,225.071
85,0.008,-0.036,1,224.518
86,0.012,-0.036,1,224.518
87,0.012,-0.036,1,224.518
88,0.012,-0.036,1.2,225.071
89,0.012,-0.036,1,224.518
90,0.008,-0.04,1,224.518
91,0.008,-0.036,1,224.518
92,0.012,-0.036,1,224.518
93,0.012,-0.04,1,224.518
94,0.012,-0.036,1,224.518
95,0.012,-0.036,1,224.518
96,0.012,-0.036,1,224.518
97,0.008,-0.036,1,225.071
98,0.012,-0.036,1,224.518
99,0.012,-0.036,1,225.071
100,0.012,-0.036,1,225.071
101,0.012,-0.036,1,224.518
102,0.012,-0.036,1,224.518
103,0.008,-0.04,1,224.518
104,0.012,-0.04,1,224.518
105,0.012,-0.036,1,225.071
106,0.012,-0.036,1,225.071
107,0.012,-0.04,1,224.518
108,0.012,-0.036,1,225.071
109,0.012,-0.036,1,225.071
110,0.012,-0.036,1,225.071
111,0.008,-0.04,1,225.071
112,0.012,-0.036,1,225.071
113,0.012,-0.036,1,225.071
114,0.012,-0.036,0.8,225.071
115,0.012,-0.036,1,225.071
116,0.012,-0.04,0.8,225.071
117,0.012,-0.036,1,225.071
118,0.016,-0.04,0.8,225.071
119,0.016,-0.036,0.6,225.071
120,0.016,-0.036,0.6,225.071
121,0.016,-0.036,0.4,224.518
122,0.02,-0.036,0.4,225.071
123,0.02,-0.036,0.6,225.071
124,0.016,-0.036,0.4,225.071
125,0.02,-0.036,0.2,224.518
126,0.02,-0.036,0.2,224.518
127,0.02,-0.036,0.2,225.071
128,0.024,-0.036,0.2,225.071
129,0.02,-0.036,0.2,225.071
130,0.02,-0.036,0.2,225.071
131,0.02,-0.036,0.2,225.071
132,0.02,-0.036,0.2,225.071
133,0.02,-0.036,0.2,225.071
134,0.02,-0.036,0,222.306
135,0.024,-0.036,-3.4,216.223
136,0.028,-0.036,-10.6,209.034
137,0.036,-0.04,-16.6,203.504
138,0.044,-0.044,-19,200.186
139,0.052,-0.048,-18.8,199.08
140,0.056,-0.052,-17.4,197.421
141,0.064,-0.052,-15.6,197.421
142,0.068,-0.044,-13.8,197.421
143,0.068,-0.036,-12,197.421
144,0.072,-0.028,-10,198.527
145,0.072,-0.028,-8.400001,199.08
146,0.072,-0.028,-6.8,199.633
147,0.072,-0.028,-5.6,200.186
148,0.068,-0.028,-4.8,200.186
149,0.064,-0.028,-4.2,200.186
150,0.06,-0.028,-4.2,200.186
151,0.06,-0.028,-4.4,200.186
152,0.056,-0.028,-4.6,200.186
153,0.052,-0.028,-4.8,199.633
154,0.048,-0.028,-5,199.633
155,0.044,-0.028,-4.8,200.186
156,0.04,-0.028,-4.6,200.186
157,0.04,-0.028,-4.4,200.186
158,0.036,-0.028,-4.4,200.186
159,0.036,-0.028,-4,200.186
160,0.028,-0.028,-3.4,200.186
161,0.028,-0.024,-3.2,200.186
162,0.028,-0.028,-3,200.186
163,0.028,-0.028,-3,200.186
164,0.024,-0.028,-2.8,200.186
165,0.028,-0.028,-2.8,200.186
166,0.028,-0.024,-2.8,200.186
167,0.024,-0.028,-2.8,200.186
168,0.024,-0.028,-2.8,199.633
169,0.024,-0.028,-2.8,200.186
170,0.028,-0.028,-2.6,200.186
171,0.024,-0.028,-2.8,200.186
172,0.024,-0.028,-2.6,200.186
173,0.028,-0.028,-2.6,200.186
174,0.024,-0.028,-2.6,200.186
175,0.028,-0.028,-2.6,200.186
176,0.028,-0.028,-2.6,200.186
177,0.028,-0.028,-2.6,199.633
178,0.028,-0.028,-2.4,200.186
179,0.028,-0.028,-2.4,200.739
180,0.024,-0.028,-2.4,200.186
181,0.028,-0.028,-2.6,200.186
182,0.024,-0.028,-2.4,200.186
183,0.024,-0.028,-2.4,200.186
184,0.028,-0.028,-2.4,200.186
185,0.024,-0.028,-2.4,200.186
186,0.028,-0.028,-2.2,200.186
187,0.024,-0.028,-2.2,200.186
188,0.024,-0.028,-2.2,200.186
189,0.024,-0.028,-2.2,200.186
190,0.028,-0.028,-2.2,200.186
191,0.024,-0.028,-2.2,200.186
192,0.028,-0.028,-2,200.186
193,0.028,-0.028,-2.2,200.186
194,0.024,-0.028,-2.2,200.186
195,0.028,-0.028,-2.2,200.186
196,0.028,-0.028,-2,200.186
197,0.024,-0.028,-2,200.186
198,0.024,-0.028,-2,200.186
199,0.028,-0.028,-2,200.186
200,0.028,-0.028,-2,200.186
201,0.028,-0.028,-2,200.186
202,0.028,-0.028,-2,200.186
203,0.024,-0.028,-1.8,200.186
204,0.028,-0.028,-1.8,200.186
205,0.028,-0.028,-1.8,200.186
206,0.028,-0.028,-1.8,200.186
207,0.028,-0.028,-1.8,200.186
208,0.024,-0.028,-1.8,200.186
209,0.024,-0.028,-1.8,200.186
210,0.024,-0.028,-1.8,200.186
211,0.024,-0.028,-1.6,200.186
212,0.024,-0.028,-1.6,200.186
213,0.024,-0.028,-1.6,200.186
214,0.028,-0.028,-1.6,200.739
215,0.024,-0.028,-1.6,200.186
216,0.028,-0.028,-1.6,200.186
217,0.028,-0.028,-1.4,200.186
218,0.028,-0.028,-1.6,200.186
219,0.028,-0.028,-1.4,200.186
220,0.028,-0.028,-1.6,200.186
221,0.024,-0.028,-1.6,200.186
222,0.024,-0.028,-1.4,200.186
223,0.024,-0.028,-1.6,200.186
224,0.028,-0.028,-1.4,200.186
225,0.028,-0.028,-1.4,200.186
226,0.024,-0.032,-1.4,200.186
227,0.024,-0.028,-1.4,200.186
228,0.024,-0.028,-1.4,200.186
229,0.028,-0.028,-1.4,200.186
230,0.024,-0.032,-1.4,200.186
231,0.028,-0.028,-1.4,200.186
232,0.028,-0.028,-1.4,200.186
233,0.024,-0.028,-1.4,200.186
234,0.024,-0.028,-1.4,200.186
235,0.028,-0.028,-1.4,200.739
236,0.024,-0.028,-1.4,200.186
237,0.024,-0.028,-1.4,200.186
238,0.024,-0.028,-1.2,200.186
239,0.024,-0.028,-1.2,200.186
240,0.028,-0.028,-1.2,200.186
241,0.028,-0.028,-1.2,200.186
242,0.028,-0.028,-1.2,200.186
243,0.028,-0.028,-1.2,200.186
244,0.024,-0.028,-1.2,200.186
245,0.024,-0.028,-1.2,200.186
246,0.024,-0.028,-1,200.739
247,0.028,-0.028,-1.2,200.186
248,0.024,-0.028,-1.2,200.186
249,0.024,-0.028,-1.2,200.186
250,0.024,-0.028,-1.2,200.739
