CSV Data,0.00sec - 290.15sec
DATASET,F051
VERSION,1
SERIES,CH_1,CH_2,CH_3,CH_4
DATE,10-08-2024
TIME,12:04:53
RATE,20
VERT_UNITS,Nm,deg,N,ue
HORZ_UNITS,SEC
NUM_SERIES,4
STORAGE_MODE,INTERLACED
FILE_TYPE,INTEGER
SLOPE,0.00400,0.00400,0.20000,0.55300
X_OFFSET,0
Y_OFFSET,0,0,0,0
NUM_SAMPS,0005804
,CH_1,CH_2,CH_3,CH_4
1,0.012,-0.028,6,200.186
2,0.016,-0.028,6,200.186
3,0.016,-0.028,5.8,200.739
4,0.016,-0.028,5.8,200.186
5,0.016,-0.028,5.8,200.739
6,0.016,-0.028,5.8,200.186
7,0.016,-0.028,5.8,200.739
8,0.016,-0.028,5.6,200.739
9,0.016,-0.028,5.8,200.739
10,0.016,-0.028,5.6,200.739
11,0.016,-0.028,5.6,200.186
12,0.012,-0.028,5.6,200.186
13,0.016,-0.028,5.6,200.739
14,0.016,-0.028,5.6,200.186
15,0.016,-0.028,5.6,200.186
16,0.016,-0.028,5.6,200.186
17,0.016,-0.028,5.6,200.186
18,0.016,-0.028,5.6,200.739
19,0.016,-0.028,5.6,200.739
20,0.016,-0.028,5.4,200.186
21,0.016,-0.028,5.4,200.739
22,0.016,-0.028,5.6,200.186
23,0.016,-0.028,5.6,200.739
24,0.016,-0.028,5.6,200.186
25,0.016,-0.028,5.4,200.739
26,0.016,-0.028,5.6,200.739
27,0.016,-0.028,5.4,200.186
28,0.016,-0.028,5.4,200.739
29,0.016,-0.028,5.4,200.739
30,0.016,-0.028,5.4,200.186
31,0.02,-0.028,5.4,200.739
32,0.016,-0.028,5.4,200.186
33,0.016,-0.028,5.4,200.186
34,0.016,-0.028,5.4,200.739
35,0.016,-0.028,5.4,200.186
36,0.016,-0.028,5.4,200.186
37,0.016,-0.028,5.4,200.739
38,0.016,-0.028,5.4,200.739
39,0.016,-0.028,5.4,200.739
40,0.016,-0.028,5.4,200.186
41,0.016,-0.028,5.2,200.186
42,0.016,-0.028,5.2,200.186
43,0.016,-0.028,5.2,200.186
44,0.016,-0.028,5.4,200.186
45,0.016,-0.028,5.2,200.739
46,0.016,-0.028,5.2,200.186
47,0.016,-0.028,5.2,200.739
48,0.016,-0.028,5.4,200.739
49,0.02,-0.028,5.2,200.739
50,0.016,-0.028,5.2,200.186
51,0.016,-0.028,5.2,200.739
52,0.016,-0.028,5.2,200.739
53,0.02,-0.028,5.2,200.186
54,0.016,-0.028,5.2,200.739
55,0.016,-0.028,5.2,200.739
56,0.016,-0.028,5.2,200.739
57,0.016,-0.028,5.2,200.739
58,0.016,-0.028,5.2,200.186
59,0.016,-0.028,5.2,200.186
60,0.016,-0.028,5.2,200.186
61,0.016,-0.028,5.2,200.739
62,0.016,-0.028,5,200.739
63,0.02,-0.028,5,200.739
64,0.02,-0.028,5.2,200.186
65,0.016,-0.028,5,200.186
66,0.016,-0.032,5.2,200.186
67,0.016,-0.028,5,200.739
68,0.016,-0.028,5,200.739
69,0.016,-0.028,5,200.186
70,0.016,-0.028,5,200.739
71,0.016,-0.028,5,200.186
72,0.016,-0.028,5,200.739
73,0.02,-0.028,5,200.186
74,0.016,-0.028,5,200.739
75,0.016,-0.028,5,200.186
76,0.02,-0.028,5,200.739
77,0.016,-0.028,5,200.739
78,0.016,-0.028,5,200.186
79,0.016,-0.028,5,200.186
80,0.016,-0.028,5,200.739
81,0.02,-0.028,5,200.739
82,0.016,-0.028,5,200.186
83,0.02,-0.028,4.8,200.186
84,0.02,-0.028,5,200.186
85,0.016,-0.028,4.8,200.739
86,0.016,-0.028,4.8,200.186
87,0.016,-0.028,4.8,200.739
88,0.016,-0.028,4.8,200.739
89,0.016,-0.028,5,200.186
90,0.016,-0.028,4.8,200.186
91,0.016,-0.028,4.8,200.186
92,0.016,-0.028,4.8,200.186
93,0.02,-0.028,4.8,200.186
94,0.016,-0.028,4.8,200.739
