torsion_angle,height,rad_outer,rad_inner,void_ratio,strain_shear,stress_shear,stress_z,stress_outer,stress_inner,strain_dev,vel_rot,moment_inertial,time_duration
0.0,0.09853133132411059,0.049765317922,0.0301253835929,0.731652258265,0.0,2.12886052782,149988.237026,75001.7815976,74998.9405227,0.0,0.0,497441.299969,5.396076819737169e-07
1.13711726201e-05,0.09853133132411059,0.04976531793,0.0301253836061,0.731652258265,3.36747190096e-06,266.216324558,149901.31094,75006.3857709,75006.1008664,3.88842162911e-06,0.0414887750147,498099.07566,0.00027002491335397633
3.42619055442e-05,0.09853133132411059,0.0497653179149,0.0301253835811,0.731652258265,1.01660965294e-05,789.721966611,149738.396907,75022.4910985,75030.0079961,1.17387971389e-05,0.0633271663824,497518.869439,0.0005395110851089009
5.83108855675e-05,0.09853133132411059,0.0497653178409,0.0301253834589,0.731652258265,1.73154720807e-05,1334.10943002,149611.400374,75031.4933275,75042.2914248,1.99941851744e-05,0.0652454631021,496815.063594,0.0008089982356498857
8.20775442325e-05,0.09853133132411059,0.0497653177325,0.0301253832799,0.731652258265,2.43815225042e-05,1853.56516836,149440.524853,75048.1528585,75066.4182994,2.81533580959e-05,0.065316859261,496416.343717,0.0010784864078243642
0.000107078310266,0.09853133132411059,0.0497653175669,0.0301253830062,0.731652258265,3.18137701044e-05,2405.23845677,149306.536139,75058.0282555,75078.6658984,3.67353799843e-05,0.0674755260379,497042.307812,0.0013479755847261147
0.000131451197343,0.09853133132411059,0.0497653173746,0.0301253826887,0.731652258265,3.90603124454e-05,2918.47757951,149126.970954,75075.8685922,75103.5755181,4.51029686818e-05,0.0667536073611,497043.126562,0.0016174657920525863
0.000157296440018,0.09853133132411059,0.0497653171275,0.0301253822804,0.731652258265,4.67435056564e-05,3472.56558787,148985.421073,75086.8368512,75116.3060441,5.39747597268e-05,0.0693413838111,497043.99326,0.0018869570165965946
0.000182391300757,0.09853133132411059,0.0497653168582,0.0301253818356,0.731652258265,5.42048050407e-05,3982.79741268,148796.146849,75105.5778356,75142.0538767,6.25903308296e-05,0.0684631006513,497044.817771,0.0021564492949712566
0.000208985763826,0.09853133132411059,0.0497653165353,0.0301253813021,0.731652258265,6.21106915918e-05,4538.78604396,148646.605662,75116.993084,75154.6981951,7.17192686979e-05,0.0710533673586,497045.699158,0.002425942621303491
0.000234682039219,0.09853133132411059,0.049765316194,0.0301253807384,0.731652258265,6.97506360229e-05,5044.50107327,148448.173324,75136.4389897,75181.0201072,8.0541124178e-05,0.0705879208761,497046.538439,0.0026954370656593354
0.000261960443182,0.09853133132411059,0.0497653158007,0.0301253800886,0.731652258265,7.78600813362e-05,5604.12106427,148291.351377,75148.5019616,75193.8966581,8.99051145759e-05,0.072571031845,499395.538756,0.002964932615598381
