CSV Data,0.00sec - 1049.20sec
DATASET,F052
VERSION,1
SERIES,CH_1,CH_2,CH_3,CH_4
DATE,10-08-2024
TIME,21:01:14
RATE,20
VERT_UNITS,,mm,N,ue
HORZ_UNITS,SEC
NUM_SERIES,4
STORAGE_MODE,INTERLACED
FILE_TYPE,INTEGER
SLOPE,0.01000,0.00667,0.20000,0.57950
X_OFFSET,0
Y_OFFSET,0,0,0,0
NUM_SAMPS,0020985
,CH_1,CH_2,CH_3,CH_4
1,-5.54,1.54077,0.8,1.159
2,-5.53,1.54077,0.8,0.5795
3,-5.55,1.54077,0.6,0.5795
4,-5.54,1.54077,1,0
5,-5.53,1.54077,0.8,0
6,-5.53,1.54077,0.8,0
7,-5.54,1.54077,0.6,0
8,-5.53,1.54077,0.6,-0.5795
9,-5.55,1.54077,0.8,0
10,-5.55,1.54077,0.6,-0.5795
11,-5.54,1.54077,0.6,-1.159
12,-5.53,1.54077,0.8,-1.159
13,-5.54,1.54077,0.6,-2.318
14,-5.54,1.54077,0.6,-1.159
15,-5.54,1.54077,0.4,-1.159
16,-5.55,1.54077,0.8,-1.159
17,-5.53,1.54077,0.8,-1.159
18,-5.54,1.54077,0.6,-1.159
19,-5.55,1.54077,0.6,-1.159
20,-5.54,1.54077,0.8,-1.7385
21,-5.54,1.54077,1,-1.7385
22,-5.54,1.54077,0.8,-1.7385
23,-5.54,1.54077,0.8,-2.318
24,-5.54,1.54077,1,-2.8975
25,-5.53,1.54077,0.8,-2.8975
26,-5.55,1.54077,0.6,-2.318
27,-5.54,1.54077,0.8,-3.477
28,-5.54,1.54077,0.8,-4.0565
29,-5.53,1.54077,1,-4.0565
30,-5.55,1.54077,1,-3.477
31,-5.55,1.54077,0.8,-4.0565
32,-5.55,1.5341,0.8,-3.477
33,-5.53,1.54077,1,-4.636
34,-5.53,1.54077,1,-4.636
35,-5.54,1.54077,1,-4.0565
36,-5.54,1.54077,0.8,-4.636
37,-5.54,1.54077,1,-4.636
38,-5.54,1.54077,1,-5.2155
39,-5.53,1.54077,1,-5.2155
40,-5.54,1.54077,0.8,-5.795
41,-5.53,1.54077,0.8,-4.636
42,-5.54,1.54077,0.8,-4.0565
43,-5.55,1.54077,1,-4.0565
44,-5.54,1.54077,0.8,-5.2155
45,-5.54,1.54077,0.8,-5.795
46,-5.54,1.54077,1,-5.2155
47,-5.54,1.54077,1,-5.795
48,-5.55,1.54077,1,-4.636
49,-5.55,1.54077,0.8,-5.795
50,-5.55,1.54077,0.8,-7.5335
