CSV Data,0.00sec - 13.25sec
DATASET,F053
VERSION,1
SERIES,CH_1,CH_2,CH_3,CH_4
DATE,10-08-2024
TIME,21:19:00
RATE,20
VERT_UNITS,,mm,N,ue
HORZ_UNITS,SEC
NUM_SERIES,4
STORAGE_MODE,INTERLACED
FILE_TYPE,INTEGER
SLOPE,0.01000,0.00667,0.20000,0.57950
X_OFFSET,0
Y_OFFSET,0,0,0,0
NUM_SAMPS,0000266
,CH_1,CH_2,CH_3,CH_4
1,-5.82,2.06103,-0.6,137.921
2,-5.82,2.0677,-0.8,136.762
3,-5.82,2.06103,-0.8,137.3415
4,-5.82,2.06103,-0.6,137.3415
5,-5.83,2.06103,-0.4,136.762
6,-5.82,2.06103,-0.6,137.3415
7,-5.83,2.06103,-0.2,136.762
8,-5.82,2.06103,-0.2,137.3415
9,-5.82,2.0677,-0.2,136.762
10,-5.81,2.06103,-0.4,136.762
11,-5.82,2.06103,-0.4,136.762
12,-5.81,2.06103,-0.4,136.762
13,-5.82,2.06103,-0.2,136.762
14,-5.81,2.06103,-0.6,137.921
15,-5.81,2.06103,-0.4,137.3415
16,-5.83,2.06103,-0.6,136.762
17,-5.82,2.06103,-0.6,136.762
18,-5.82,2.06103,-0.6,137.3415
19,-5.82,2.0677,-0.4,137.921
20,-5.82,2.06103,-0.2,137.921
21,-5.82,2.06103,-0.4,139.08
22,-5.82,2.06103,-0.4,136.762
23,-5.8,2.06103,0,136.762
24,-5.82,2.06103,-0.4,137.3415
25,-5.82,2.06103,-0.4,136.762
26,-5.82,2.06103,-0.6,137.3415
27,-5.82,2.06103,-0.6,137.921
28,-5.82,2.06103,-0.6,136.762
29,-5.82,2.06103,-0.4,136.762
30,-5.84,2.06103,-0.4,137.3415
31,-5.82,2.06103,-0.4,137.3415
32,-5.82,2.06103,-0.4,135.603
33,-5.83,2.06103,-0.2,136.762
34,-5.82,2.06103,-0.4,136.762
35,-5.82,2.06103,-0.2,136.762
36,-5.82,2.06103,-0.2,136.762
37,-5.83,2.06103,0,137.3415
38,-5.83,2.06103,0,137.3415
39,-5.81,2.06103,-0.2,136.1825
40,-5.81,2.06103,0,136.762
41,-5.82,2.06103,-0.2,137.3415
42,-5.65,2.06103,0,136.1825
43,-5.75,2.06103,-0.4,137.3415
44,-5.76,2.06103,-0.4,136.762
45,-5.77,2.06103,-0.4,135.603
46,-5.77,2.06103,-0.6,135.603
47,-5.76,2.06103,-0.6,136.762
48,-5.78,2.06103,-0.4,135.603
