CSV Data,0.00sec - 478.55sec
DATASET,F055
VERSION,1
SERIES,CH_1,CH_2,CH_3,CH_4
DATE,10-09-2024
TIME,08:14:55
RATE,20
VERT_UNITS,Nm,deg,N,ue
HORZ_UNITS,SEC
NUM_SERIES,4
STORAGE_MODE,INTERLACED
FILE_TYPE,INTEGER
SLOPE,0.00400,0.00400,0.20000,0.55300
X_OFFSET,0
Y_OFFSET,0,0,0,0
NUM_SAMPS,0009572
,CH_1,CH_2,CH_3,CH_4
1,0.06,-0.052,-13.6,202.398
2,0.064,-0.048,-13.6,201.845
3,0.06,-0.048,-13.8,201.845
4,0.06,-0.052,-13.6,201.845
5,0.064,-0.048,-13.6,202.398
6,0.06,-0.048,-13.6,201.845
7,0.06,-0.048,-13.6,202.398
8,0.06,-0.052,-13.6,201.845
9,0.06,-0.052,-13.6,201.845
10,0.064,-0.048,-13.6,201.845
11,0.06,-0.048,-13.6,201.845
12,0.064,-0.048,-13.6,201.845
13,0.064,-0.048,-13.6,201.845
14,0.06,-0.052,-13.6,201.845
15,0.06,-0.048,-13.6,201.845
16,0.06,-0.048,-13.8,201.845
17,0.06,-0.048,-13.6,201.845
18,0.06,-0.048,-13.6,201.845
19,0.06,-0.052,-13.6,201.845
20,0.06,-0.048,-13.6,201.845
21,0.064,-0.048,-13.6,201.845
22,0.06,-0.048,-13.6,201.845
23,0.064,-0.048,-13.6,201.845
24,0.064,-0.048,-13.6,201.845
25,0.064,-0.048,-13.8,201.845
26,0.06,-0.052,-13.6,201.845
27,0.064,-0.048,-13.6,201.845
28,0.06,-0.048,-13.8,201.845
29,0.06,-0.048,-13.6,201.845
30,0.06,-0.048,-13.8,201.845
31,0.06,-0.048,-13.8,201.845
32,0.06,-0.048,-13.8,201.845
33,0.06,-0.048,-13.6,201.845
34,0.064,-0.048,-13.6,201.845
35,0.06,-0.048,-13.6,201.845
36,0.06,-0.048,-13.6,201.845
37,0.064,-0.048,-13.6,201.845
38,0.06,-0.048,-13.6,201.845
39,0.064,-0.048,-13.6,201.845
40,0.064,-0.048,-13.6,201.845
41,0.06,-0.048,-13.6,201.845
42,0.06,-0.052,-13.6,201.845
43,0.06,-0.048,-13.6,201.845
44,0.064,-0.052,-13.6,201.845
45,0.06,-0.052,-13.8,201.845
46,0.064,-0.048,-13.6,201.845
47,0.064,-0.052,-13.6,201.845
48,0.06,-0.048,-13.6,201.845
49,0.064,-0.048,-13.6,201.845
50,0.064,-0.048,-13.6,201.845
51,0.064,-0.052,-13.8,201.845
52,0.064,-0.048,-13.8,201.845
53,0.06,-0.048,-13.6,201.845
54,0.064,-0.048,-13.6,201.292
55,0.064,-0.048,-13.6,201.845
56,0.06,-0.048,-13.8,201.292
57,0.06,-0.048,-13.8,201.292
58,0.064,-0.052,-13.6,201.292
59,0.06,-0.048,-13.6,201.845
60,0.06,-0.048,-13.6,201.292
61,0.06,-0.048,-13.8,201.845
62,0.06,-0.048,-13.6,201.845
63,0.064,-0.052,-13.6,201.292
64,0.06,-0.048,-13.6,201.845
65,0.06,-0.048,-13.6,201.292
66,0.06,-0.048,-13.6,201.845
67,0.06,-0.052,-13.8,201.292
68,0.064,-0.048,-13.6,201.845
69,0.064,-0.052,-13.6,201.845
70,0.06,-0.048,-13.6,201.845
71,0.064,-0.048,-13.6,201.845
72,0.06,-0.048,-13.6,201.292
73,0.06,-0.052,-13.6,201.292
74,0.06,-0.052,-13.6,201.845
75,0.06,-0.052,-13.4,201.845
76,0.06,-0.052,-13.4,201.292
77,0.064,-0.048,-13.4,201.292
78,0.064,-0.048,-13.4,201.845
79,0.06,-0.048,-13.2,201.845
80,0.06,-0.052,-13.2,201.292
81,0.064,-0.052,-13,201.845
82,0.064,-0.048,-12.8,201.845
83,0.06,-0.048,-12.6,201.292
84,0.06,-0.052,-12.4,201.845
85,0.064,-0.048,-12.2,201.845
86,0.06,-0.052,-12,201.292
87,0.064,-0.048,-11.8,201.845
88,0.064,-0.052,-11.6,201.292
89,0.06,-0.048,-11.4,201.292
90,0.06,-0.052,-11.2,201.845
91,0.064,-0.048,-11,201.292
92,0.06,-0.052,-10.8,201.292
93,0.064,-0.052,-10.6,201.292
94,0.064,-0.048,-10.4,201.292
95,0.064,-0.048,-10.2,201.292
96,0.064,-0.048,-10,201.845
97,0.064,-0.052,-9.8,201.292
98,0.06,-0.052,-9.6,201.292
99,0.064,-0.048,-9.400001,201.292
100,0.06,-0.052,-9.2,201.292
101,0.06,-0.052,-9.2,201.292
102,0.06,-0.052,-9,201.845
103,0.06,-0.052,-8.8,201.292
104,0.064,-0.052,-8.6,201.292
105,0.06,-0.048,-8.400001,201.292
