CSV Data,0.00sec - 15.40sec
DATASET,F054
VERSION,1
SERIES,CH_1,CH_2,CH_3,CH_4
DATE,10-09-2024
TIME,08:14:24
RATE,20
VERT_UNITS,Nm,deg,N,ue
HORZ_UNITS,SEC
NUM_SERIES,4
STORAGE_MODE,INTERLACED
FILE_TYPE,INTEGER
SLOPE,0.00400,0.00400,0.20000,0.55300
X_OFFSET,0
Y_OFFSET,0,0,0,0
NUM_SAMPS,0000309
,CH_1,CH_2,CH_3,CH_4
158,0.052,-0.044,-13,215.67
159,0.052,-0.044,-13,215.67
160,0.056,-0.04,-13,215.67
161,0.056,-0.04,-13,215.117
162,0.052,-0.04,-12.8,215.67
163,0.052,-0.044,-13,215.67
164,0.052,-0.044,-13,215.67
165,0.052,-0.044,-13,215.67
166,0.052,-0.04,-13,215.67
167,0.052,-0.044,-13,215.117
168,0.052,-0.044,-12.8,215.67
169,0.056,-0.044,-13,215.117
170,0.052,-0.044,-13,215.67
171,0.056,-0.04,-13,215.117
172,0.052,-0.044,-13,215.67
173,0.056,-0.044,-13,215.67
174,0.052,-0.044,-13,215.117
175,0.052,-0.04,-13,215.117
176,0.056,-0.04,-13,215.67
177,0.056,-0.044,-13,215.67
178,0.052,-0.044,-13,215.67
179,0.052,-0.044,-13,215.117
180,0.052,-0.044,-13,215.67
181,0.052,-0.044,-13,215.67
182,0.052,-0.04,-13,215.117
183,0.056,-0.04,-13,215.67
184,0.052,-0.044,-13,215.67
185,0.052,-0.044,-13,215.117
186,0.052,-0.044,-13,215.117
187,0.052,-0.044,-13,215.67
188,0.056,-0.044,-13,215.67
189,0.056,-0.044,-13.2,215.117
190,0.056,-0.044,-13.2,215.67
191,0.056,-0.04,-13,215.67
192,0.056,-0.044,-13.6,211.246
193,0.06,-0.04,-17.2,207.375
194,0.06,-0.044,-20.4,203.504
195,0.068,-0.048,-22.4,201.292
196,0.072,-0.048,-23.2,199.08
197,0.072,-0.052,-22.8,198.527
198,7.600001E-02,-0.052,-21.8,198.527
199,0.072,-0.052,-20.6,199.08
200,0.068,-0.052,-19.4,199.08
201,0.068,-0.052,-18,200.186
202,0.068,-0.052,-16.6,200.739
203,0.068,-0.052,-15.4,201.845
204,0.064,-0.052,-14.8,201.292
205,0.064,-0.052,-14.6,201.845
206,0.064,-0.052,-14.6,201.845
207,0.064,-0.052,-14.8,201.292
208,0.064,-0.052,-15.2,201.292
209,0.064,-0.052,-15.8,200.739
210,0.064,-0.052,-15.8,201.292
211,0.064,-0.048,-16,201.292
212,0.068,-0.052,-16,201.292
213,0.064,-0.052,-16,201.292
214,0.068,-0.052,-15.8,201.292
215,0.068,-0.052,-15.8,201.292
216,0.064,-0.052,-15.6,201.292
217,0.068,-0.052,-15.6,201.292
218,0.068,-0.052,-15.6,201.845
219,0.064,-0.052,-15.4,201.292
220,0.068,-0.052,-15.4,201.292
221,0.068,-0.052,-15.4,201.292
222,0.068,-0.052,-15.4,201.845
223,0.064,-0.048,-15.4,201.292
224,0.064,-0.052,-15.2,201.292
225,0.064,-0.048,-15.2,201.292
226,0.064,-0.052,-15,201.292
227,0.06,-0.052,-14.8,201.292
