CSV Data,0.00sec - 14.20sec
DATASET,F057
VERSION,1
SERIES,CH_1,CH_2,CH_3,CH_4
DATE,10-09-2024
TIME,08:32:34
RATE,20
VERT_UNITS,Nm,deg,N,ue
HORZ_UNITS,SEC
NUM_SERIES,4
STORAGE_MODE,INTERLACED
FILE_TYPE,INTEGER
SLOPE,0.00400,0.00400,0.20000,0.55300
X_OFFSET,0
Y_OFFSET,0,0,0,0
NUM_SAMPS,0000285
,CH_1,CH_2,CH_3,CH_4
1,0.064,-7.276,3.4,242.214
2,0.06,-7.272,3.4,242.214
3,0.064,-7.264,3.6,242.214
4,0.06,-7.26,3.4,241.661
5,0.06,-7.248,3.6,242.214
6,0.064,-7.24,3.4,242.214
7,0.06,-7.232,3.4,242.214
8,0.06,-7.224,3.4,242.214
9,0.06,-7.216001,3.6,242.214
10,0.06,-7.204,3.4,242.214
11,0.064,-7.196001,3.6,242.214
12,0.06,-7.192,3.6,242.214
13,0.06,-7.18,3.4,242.214
14,0.06,-7.172,3.4,242.214
15,0.056,-7.164001,3.4,242.214
16,0.06,-7.156,3.4,242.214
17,0.056,-7.148,3.4,242.214
18,0.056,-7.14,3.4,242.214
19,0.056,-7.132,3.4,242.214
20,0.056,-7.124001,3.4,242.214
21,0.056,-7.112,3.4,242.214
22,0.056,-7.104001,3.4,242.214
23,0.052,-7.1,3.4,242.214
24,0.056,-7.092,3.4,242.214
25,0.056,-7.08,3.4,242.214
26,0.056,-7.076,3.4,242.214
27,0.052,-7.068,3.6,242.214
28,0.056,-7.06,3.4,242.214
29,0.056,-7.048,3.4,242.214
30,0.052,-7.044,3.4,242.214
31,0.056,-7.036,3.4,242.214
32,0.052,-7.028,3.4,242.214
33,0.052,-7.02,3.4,242.214
34,0.052,-7.012001,3.4,242.214
35,0.052,-7.004,3.4,242.214
36,0.052,-6.996,3.4,242.214
37,0.052,-6.992,3.4,236.684
38,0.056,-6.98,3.4,228.942
39,0.056,-6.972,3.2,222.859
40,0.064,-6.960001,3,219.541
41,0.064,-6.952,2.8,218.435
42,0.068,-6.944,2.6,217.882
43,0.068,-6.932,2.2,217.882
44,0.068,-6.924,1.8,217.882
45,0.072,-6.912,1.2,217.882
46,7.600001E-02,-6.904,0.6,217.882
47,7.600001E-02,-6.892,0,217.882
48,8.000001E-02,-6.88,-0.6,217.882
49,9.200001E-02,-6.868001,-1.4,217.882
50,0.096,-6.852,-2.6,217.329
51,0.108,-6.836,-3.8,217.329
52,0.116,-6.816,-5.2,216.776
53,0.128,-6.8,-6.6,216.776
54,0.132,-6.78,-8.400001,216.223
55,0.14,-6.76,-10,215.67
56,0.152,-6.736001,-11.8,215.67
57,0.144,-6.712,-13.8,214.564
58,0.148,-6.684,-15.6,214.564
59,0.156,-6.66,-17.8,214.011
60,0.16,-6.636,-20,213.458
61,0.164,-6.616,-22.2,212.905
62,0.172,-6.596,-24.4,212.905
63,0.172,-6.572001,-26.6,212.352
64,0.168,-6.556,-28.8,211.246
65,0.168,-6.54,-30.8,211.246
66,0.164,-6.52,-32.8,210.693
67,0.156,-6.504,-34.6,210.14
68,0.152,-6.488,-36.6,210.14
69,0.144,-6.472,-38.2,209.587
70,0.136,-6.456,-39.8,209.034
71,0.128,-6.444,-41.4,209.034
72,0.116,-6.436,-42.6,208.481
73,0.112,-6.424,-43.8,209.034
74,0.104,-6.412,-44.8,208.481
75,9.200001E-02,-6.404,-45.8,208.481
76,8.400001E-02,-6.396,-46.6,208.481
77,7.600001E-02,-6.388,-47,208.481
78,0.068,-6.38,-47.6,207.928
79,0.064,-6.376,-48.2,208.481
80,0.064,-6.368001,-48.6,208.481
81,0.064,-6.364,-49,207.928
82,0.056,-6.36,-49.2,208.481
83,0.048,-6.356,-49.4,208.481
84,0.04,-6.348001,-49.4,208.481
85,0.032,-6.348001,-49.4,208.481
86,0.024,-6.348001,-49.4,208.481
87,0.02,-6.344,-49.6,208.481
88,0.016,-6.34,-49.6,208.481
89,0.008,-6.336,-49.6,208.481
90,0.008,-6.336,-49.8,208.481
91,0.004,-6.332,-49.8,208.481
92,0.004,-6.332,-49.8,208.481
93,0,-6.328,-49.8,209.034
94,0,-6.328,-49.8,208.481
95,-0.004,-6.328,-50,208.481
96,0,-6.324,-50,208.481
97,-0.004,-6.324,-49.8,208.481
98,-0.004,-6.324,-50,208.481
99,-0.004,-6.32,-50,208.481
100,0,-6.32,-50.2,208.481
101,0,-6.32,-50,208.481
102,0,-6.316,-50,208.481
103,0,-6.32,-50,208.481
104,-0.004,-6.32,-50,208.481
105,0,-6.316,-50,208.481
106,-0.004,-6.316,-50,208.481
107,-0.004,-6.316,-50,208.481
108,-0.008,-6.316,-49.8,208.481
109,-0.008,-6.312,-49.8,208.481
110,-0.008,-6.312,-49.8,208.481
111,-0.008,-6.312,-49.8,209.034
112,-0.008,-6.312,-49.8,208.481
113,-0.012,-6.312,-50,208.481
114,-0.012,-6.312,-50,208.481
115,-0.016,-6.308,-49.8,208.481
116,-0.016,-6.308,-49.8,208.481
117,-0.012,-6.308,-49.8,208.481
118,-0.016,-6.308,-50,208.481
119,-0.02,-6.308,-50,208.481
120,-0.02,-6.308,-50,208.481
121,-0.02,-6.304,-49.8,208.481
122,-0.02,-6.304,-50,208.481
123,-0.02,-6.304,-50,208.481
124,-0.02,-6.304,-50,208.481
125,-0.02,-6.304,-50,209.034
126,-0.02,-6.304,-50,208.481
127,-0.02,-6.304,-50,208.481
128,-0.024,-6.304,-50,208.481
129,-0.024,-6.304,-50.2,208.481
130,-0.024,-6.3,-50,208.481
131,-0.024,-6.3,-50,208.481
132,-0.024,-6.3,-50.2,208.481
133,-0.024,-6.3,-50.2,207.928
134,-0.024,-6.3,-50.2,208.481
135,-0.024,-6.3,-50.2,208.481
136,-0.028,-6.3,-50.2,208.481
137,-0.028,-6.3,-50.2,208.481
138,-0.024,-6.3,-50.2,208.481
139,-0.024,-6.296,-50.2,208.481
140,-0.024,-6.296,-50.2,208.481
141,-0.028,-6.3,-50.2,208.481
142,-0.028,-6.3,-50.2,208.481
143,-0.028,-6.296,-50.2,208.481
144,-0.028,-6.296,-50.2,208.481
145,-0.028,-6.296,-50.2,208.481
146,-0.028,-6.296,-50.2,208.481
147,-0.028,-6.296,-50.2,209.034
148,-0.024,-6.296,-50.2,208.481
149,-0.024,-6.296,-50.2,208.481
150,-0.028,-6.296,-50.4,208.481
151,-0.028,-6.296,-50.2,208.481
152,-0.028,-6.296,-50.4,208.481
153,-0.028,-6.296,-50.2,207.928
154,-0.028,-6.296,-50.4,208.481
155,-0.028,-6.296,-50.4,208.481
156,-0.028,-6.292,-50.2,208.481
157,-0.028,-6.296,-50.2,208.481
158,-0.028,-6.292,-50.4,208.481
159,-0.028,-6.292,-50.4,209.034
160,-0.024,-6.292,-50.2,208.481
161,-0.024,-6.292,-50.2,208.481
162,-0.024,-6.292,-50.4,208.481
163,-0.028,-6.292,-50.4,208.481
164,-0.028,-6.292,-50.4,208.481
165,-0.028,-6.292,-50.4,208.481
166,-0.028,-6.292,-50.4,208.481
167,-0.028,-6.292,-50.4,208.481
168,-0.024,-6.292,-50.4,208.481
169,-0.024,-6.292,-50.4,208.481
170,-0.028,-6.292,-50.4,208.481
171,-0.028,-6.292,-50.4,208.481
172,-0.028,-6.292,-50.4,208.481
173,-0.028,-6.292,-50.4,208.481
174,-0.024,-6.288,-50.4,208.481
175,-0.024,-6.292,-50.4,208.481
176,-0.028,-6.292,-50.4,208.481
177,-0.028,-6.288,-50.4,208.481
178,-0.028,-6.288,-50.4,208.481
179,-0.028,-6.292,-50.4,208.481
180,-0.028,-6.288,-50.4,208.481
181,-0.028,-6.288,-50.4,208.481
182,-0.028,-6.292,-50.6,208.481
183,-0.032,-6.288,-50.4,208.481
184,-0.028,-6.288,-50.4,208.481
185,-0.028,-6.288,-50.4,208.481
186,-0.028,-6.288,-50.4,208.481
187,-0.028,-6.288,-50.4,208.481
188,-0.028,-6.288,-50.4,208.481
189,-0.028,-6.288,-50.4,208.481
190,-0.028,-6.288,-50.6,208.481
191,-0.028,-6.288,-50.6,208.481
192,-0.028,-6.288,-50.4,208.481
193,-0.028,-6.288,-50.6,208.481
194,-0.028,-6.284,-50.6,208.481
195,-0.028,-6.288,-50.6,208.481
196,-0.028,-6.288,-50.6,208.481
197,-0.028,-6.284,-50.4,208.481
198,-0.032,-6.288,-50.4,208.481
199,-0.032,-6.284,-50.6,208.481
200,-0.028,-6.284,-50.6,208.481
201,-0.028,-6.288,-50.6,208.481
202,-0.028,-6.284,-50.6,208.481
203,-0.028,-6.284,-50.6,207.928
204,-0.032,-6.284,-50.6,207.928
205,-0.028,-6.284,-50.6,208.481
206,-0.028,-6.284,-50.6,208.481
207,-0.028,-6.284,-50.6,208.481
208,-0.028,-6.284,-50.6,208.481
209,-0.028,-6.284,-50.6,208.481
210,-0.028,-6.284,-50.6,208.481
211,-0.032,-6.284,-50.6,208.481
212,-0.028,-6.284,-50.6,208.481
213,-0.028,-6.284,-50.6,208.481
214,-0.032,-6.284,-50.6,208.481
215,-0.028,-6.288,-50.6,208.481
216,-0.028,-6.284,-50.6,208.481
217,-0.028,-6.284,-50.6,208.481
218,-0.028,-6.284,-50.6,207.928
219,-0.028,-6.284,-50.6,208.481
220,-0.028,-6.284,-50.6,208.481
221,-0.032,-6.284,-50.6,207.928
222,-0.028,-6.284,-50.6,208.481
223,-0.028,-6.284,-50.6,208.481
224,-0.028,-6.284,-50.6,207.928
225,-0.028,-6.284,-50.6,208.481
226,-0.028,-6.284,-50.6,208.481
227,-0.028,-6.284,-50.6,208.481
228,-0.028,-6.284,-50.6,208.481
229,-0.028,-6.28,-50.6,208.481
230,-0.028,-6.28,-50.8,208.481
231,-0.032,-6.284,-50.6,207.928
232,-0.028,-6.284,-50.6,208.481
233,-0.032,-6.284,-50.8,208.481
234,-0.028,-6.28,-50.6,207.928
235,-0.032,-6.28,-50.6,208.481
236,-0.028,-6.28,-50.6,208.481
237,-0.032,-6.28,-50.6,208.481
238,-0.032,-6.284,-50.6,207.928
239,-0.032,-6.284,-50.8,208.481
240,-0.032,-6.28,-50.6,208.481
241,-0.028,-6.28,-50.8,207.928
242,-0.028,-6.28,-50.6,207.928
243,-0.028,-6.28,-50.8,208.481
244,-0.028,-6.28,-50.6,208.481
245,-0.028,-6.28,-50.8,207.928
246,-0.032,-6.284,-50.6,208.481
247,-0.028,-6.28,-50.6,208.481
248,-0.024,-6.28,-50.6,208.481
249,-0.028,-6.28,-50.8,208.481
250,-0.028,-6.28,-50.8,207.928
251,-0.024,-6.28,-50.8,208.481
252,-0.028,-6.28,-50.8,208.481
253,-0.028,-6.28,-50.8,207.928
254,-0.028,-6.28,-50.6,207.928
255,-0.028,-6.28,-50.8,207.928
256,-0.024,-6.28,-50.8,208.481
257,-0.028,-6.28,-50.8,208.481
258,-0.028,-6.28,-50.6,208.481
259,-0.024,-6.276,-50.6,208.481
260,-0.028,-6.28,-50.8,208.481
261,-0.028,-6.28,-50.6,208.481
262,-0.028,-6.28,-50.8,208.481
263,-0.032,-6.28,-50.8,208.481
264,-0.032,-6.28,-50.8,207.928
265,-0.028,-6.28,-50.8,208.481
266,-0.032,-6.28,-50.8,207.928
267,-0.028,-6.28,-50.6,207.928
268,-0.032,-6.284,-50.8,207.928
269,-0.032,-6.28,-50.8,207.928
270,-0.028,-6.28,-50.8,207.928
271,-0.032,-6.28,-50.8,208.481
272,-0.028,-6.276,-50.8,207.928
273,-0.028,-6.276,-50.8,208.481
274,-0.028,-6.28,-50.8,207.928
275,-0.028,-6.28,-50.6,208.481
276,-0.028,-6.28,-50.8,208.481
277,-0.028,-6.28,-50.8,208.481
278,-0.024,-6.276,-50.8,208.481
279,-0.028,-6.28,-50.8,207.928
280,-0.028,-6.28,-50.8,208.481
281,-0.024,-6.276,-50.8,208.481
282,-0.028,-6.276,-50.8,208.481
283,-0.028,-6.28,-50.8,208.481
284,-0.028,-6.276,-50.8,208.481
285,-0.028,-6.276,-50.8,208.481
