CSV Data,0.00sec - 478.55sec
DATASET,F055
VERSION,1
SERIES,CH_1,CH_2,CH_3,CH_4
DATE,10-09-2024
TIME,17:05:23
RATE,20
VERT_UNITS,,mm,N,ue
HORZ_UNITS,SEC
NUM_SERIES,4
STORAGE_MODE,INTERLACED
FILE_TYPE,INTEGER
SLOPE,0.01000,0.00667,0.20000,0.57950
X_OFFSET,0
Y_OFFSET,0,0,0,0
NUM_SAMPS,0009572
,CH_1,CH_2,CH_3,CH_4
1,-2.92,0.00667,-0.8,2.8975
2,-2.92,0,-0.8,2.8975
3,-2.93,0,-0.6,2.318
4,-2.92,0,-0.8,1.7385
5,-2.91,0.00667,-0.6,2.318
6,-2.92,0,-0.6,1.159
7,-2.92,0,-0.8,1.159
8,-2.93,0.00667,-0.8,0
9,-2.93,0,-0.8,0
10,-2.92,0.00667,-0.6,0
11,-2.91,0,-0.8,0
12,-2.91,0,-1.2,-0.5795
13,-2.92,0.00667,-1,-1.159
14,-2.92,0,-0.8,-1.7385
15,-2.93,0,-0.8,-2.318
16,-2.93,0,-0.8,-2.318
17,-2.92,0,-0.8,-3.477
18,-2.92,0,-0.8,-4.636
19,-2.92,0,-1,-3.477
20,-2.92,0,-0.8,-5.2155
21,-2.92,0.00667,-0.8,-6.3745
22,-2.92,0.00667,-0.8,-6.3745
23,-2.91,0.00667,-0.6,-7.5335
24,-2.9,0,-0.8,-7.5335
25,-2.91,0.00667,-0.4,-8.113
26,-2.9,0,-0.6,-9.851501
27,-2.92,0,-0.6,-9.851501
28,-2.91,0,-0.6,-9.851501
29,-2.91,0,-0.6,-10.431
30,-2.91,0,-0.6,-11.59
31,-2.91,0,-0.6,-12.749
32,-2.9,0,-0.6,-13.3285
33,-2.92,0,-0.8,-13.3285
34,-2.92,0,-0.8,-14.4875
35,-2.91,0,-0.8,-15.067
36,-2.92,0,-0.8,-16.226
37,-2.91,0,-0.8,-16.226
38,-2.91,0.00667,-1,-17.385
39,-2.91,0,-0.8,-17.385
40,-2.92,0,-0.6,-19.1235
41,-2.93,0,-1,-19.1235
42,-2.93,0,-1,-20.2825
43,-2.93,0,-0.8,-20.2825
44,-2.92,0,-1,-20.862
45,-2.91,0,-0.8,-21.4415
46,-2.92,0,-0.8,-22.6005
47,-2.91,0,-0.8,-23.7595
48,-2.91,0,-0.6,-24.339
49,-2.92,0,-0.6,-24.9185
50,-2.91,0,-0.6,-25.498
51,-2.9,0,-0.6,-26.657
52,-2.91,0,-0.6,-28.3955
53,-2.92,0,-0.8,-28.975
54,-2.92,0,-0.8,-29.5545
55,-2.92,0,-0.6,-30.134
56,-2.91,0,-0.8,-32.452
57,-2.91,0,-0.8,-33.0315
58,-2.92,0,-0.6,-33.0315
59,-2.91,0,-0.4,-33.0315
60,-2.9,0,-0.6,-35.3495
61,-2.93,0,-0.6,-35.929
62,-2.91,0,-0.6,-37.6675
63,-2.9,0,-0.8,-38.247
64,-2.91,0,-0.8,-38.8265
65,-2.9,0,-0.6,-39.9855
66,-2.9,0,-0.6,-41.724
67,-2.92,0,-0.6,-42.3035
68,-2.91,0,-0.4,-42.883
69,-2.9,0,-0.4,-44.6215
70,-2.9,0,-0.4,-45.201
71,-2.9,0,-0.6,-45.7805
72,-2.9,0,-0.4,-47.519
73,-2.91,0,-0.6,-47.519
74,-2.91,0,-0.4,-48.0985
75,-2.91,0,-0.6,-49.837
76,-2.92,0,-0.8,-50.4165
77,-2.9,0,-0.8,-50.996
78,-2.91,0,-0.6,-51.5755
79,-2.91,0,-0.6,-51.5755
80,-2.93,0,-0.8,-53.8935
81,-2.92,0,-0.4,-55.632
82,-2.92,0,-0.6,-56.791
83,-2.91,0,-0.4,-57.3705
84,-2.9,0,-0.6,-57.95
85,-2.91,0,-0.8,-59.109
86,-2.92,0,-0.8,-60.8475
87,-2.91,0,-0.8,-62.0065
88,-2.91,0,-1,-62.586
89,-2.91,0,-0.6,-63.745
90,-2.91,0,-0.8,-64.3245
91,-2.9,0,-0.6,-64.904
92,-2.91,0,-0.8,-66.063
93,-2.91,0,-0.6,-67.222
94,-2.91,0,-0.8,-67.80151
95,-2.91,0,-0.8,-69.54
96,-2.9,0,-0.6,-70.69901
97,-2.9,0,-0.6,-71.2785
98,-2.9,0,-0.8,-72.4375
99,-2.91,0,-0.6,-73.01701
100,-2.92,0,-0.4,-75.335
101,-2.91,0,-0.6,-76.494
102,-2.92,0,-0.6,-77.0735
103,-2.9,0,-0.6,-77.653
104,-2.91,0,-0.6,-79.3915
105,-2.9,0,-0.8,-80.5505
106,-2.91,0,-0.8,-81.13
107,-2.92,0,-0.6,-81.7095
108,-2.91,0,-0.6,-82.8685
109,-2.91,0,-0.6,-83.44801
110,-2.91,0,-0.4,-84.607
111,-2.91,0,-0.4,-85.76601
112,-2.92,0,-0.4,-86.925
113,-2.92,0,-0.6,-87.5045
114,-2.91,0,-0.6,-88.084
115,-2.9,0,-0.6,-88.66351
116,-2.91,0,-0.4,-90.402
117,-2.9,0,-0.6,-91.561
118,-2.91,0,-0.6,-92.1405
119,-2.92,0,-0.6,-93.2995
120,-2.91,0,-0.6,-95.038
121,-2.92,0,-0.4,-95.038
122,-2.92,0,-0.2,-96.19701
123,-2.9,0,-0.2,-97.356
124,-2.9,0,-0.4,-97.9355
125,-2.9,0,-0.4,-98.51501
126,-2.91,0,-0.4,-100.2535
127,-2.9,0,-0.4,-100.2535
128,-2.91,0,-0.6,-101.992
129,-2.91,0,-0.4,-103.151
130,-2.9,0,-0.4,-103.7305
131,-2.91,0,-0.2,-103.7305
132,-2.91,0,-0.2,-104.8895
133,-2.91,0,-0.2,-106.0485
134,-2.91,0,-0.2,-107.2075
135,-2.91,0,-0.4,-107.2075
